id,name,category,price,stock
1,Cross-group even-keeled knowledge user,Require,17.38,150
2,Fully-configurable web-enabled Local Area Network,Fall,115.49,387
3,Re-contextualized reciprocal secured line,Require,339.97,466
4,Multi-tiered global algorithm,Prove,48.03,226
5,Proactive fresh-thinking contingency,Purpose,19.75,121
6,Pre-emptive didactic help-desk,Fall,255.15,23
7,Fundamental global focus group,Prove,103.42,342
8,Right-sized tangible focus group,Prove,212.66,239
9,Realigned 24/7 model,Wish,142.7,455
10,Ergonomic attitude-oriented encoding,Purpose,380.61,91
11,Up-sized incremental matrix,Answer,173.42,89
12,Realigned well-modulated encoding,Fall,478.82,182
13,Team-oriented methodical project,Require,50.91,59
14,Universal mobile knowledge user,Old,424.51,319
15,Ameliorated background frame,Her,404.53,383
16,Face-to-face impactful solution,Long,270.43,482
17,Fully-configurable fault-tolerant protocol,Answer,44.01,160
18,Reduced holistic leverage,Wish,443.3,195
19,Reactive multi-tasking hardware,Wish,100.18,45
20,Optimized value-added neural-net,Purpose,332.33,405
21,Managed heuristic standardization,Her,492.68,447
22,Persevering encompassing function,Fall,433.91,204
23,Function-based discrete capability,Her,229.44,437
24,Up-sized content-based functionalities,Old,85.51,191
25,Decentralized value-added monitoring,Fall,336.74,369
26,Virtual system-worthy contingency,Require,306.52,97
27,Ergonomic didactic support,Prove,365.92,93
28,Polarized even-keeled success,Long,192.83,483
29,Reverse-engineered well-modulated moderator,Prove,113.71,176
30,Right-sized executive attitude,Purpose,118.38,26
